plate,numinSet,sample,pop,individual,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,run.date,SampleWeight,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
NA,226,AO-F-6-19,6,19,255,1539,5,5,NA,NA,255,17:54:14 Tue 03-May-16,109.4,15.4635073636,29.1001862661,1229.8061166116,30.6795839611,4892.3171032648,1919.0434793558,44883.4660432581,2009.6568861938,75.719704399,28.0668771174,0.0203768866,0.3602996424,6.1553580565,24.7198292888,0.0066340245,0.1239687752,46.5307574929,10.911502514,0.1262025245,0.0202433674
NA,212,AO-F-6-20,6,20,236,1520,5,5,NA,NA,236,16:42:49 Tue 03-May-16,126.5,10.3263513656,12.467973909,946.433228845,27.448970415,4227.2904994651,1718.0839129102,36574.5082762867,1935.8869308582,80.9572542265,26.2280289096,0.0192880778,0.1394811432,4.6652206344,21.5019342087,0.0070766602,0.0225554053,43.6043725827,9.8785202507,0.1143158831,0.0206999782
NA,89,AO-F-7-1,7,1,99,1707,6,6,NA,NA,99,20:20:05 Wed 04-May-16,123.2,29.0481254476,20.8420181682,1213.955012917,25.1917763794,2864.8760132961,1707.2822390354,27669.6654827062,2306.9543386838,83.9295633001,27.7717648742,0.0247449574,0.3107844168,5.5937585192,43.0428710944,0.0434736755,0.0668424173,28.2711574353,19.3919706336,0.1974248302,0.1307565807
NA,62,AO-F-7-2,7,2,69,1677,6,6,NA,NA,69,18:27:31 Wed 04-May-16,113.4,33.8796989442,16.2638158568,1624.3732270011,15.7288016475,3201.7971591518,1610.8059561167,20243.9114571587,2133.8838185307,56.0374257998,40.2523927267,0.023852772,0.3438902157,7.1844148589,44.9537157459,0.0099625065,31.2245932955,30.9299459705,15.6898521843,0.2577715617,0.120017575
NA,83,AO-F-7-3,7,3,83,1691,6,6,NA,NA,83,19:20:03 Wed 04-May-16,100,11.4727750704,24.7909602214,771.6662300201,25.6208398707,2498.5073277904,1211.6736164094,24564.0429899012,1496.9514351463,66.7724980622,21.4053146934,0.0225603764,0.3421511486,4.1894012968,29.1719936282,0.0114204752,-0.2535638289,22.9724673104,15.9092942159,0.1978216717,0.1486786978
NA,71,AO-F-7-4,7,4,79,1687,6,6,NA,NA,79,19:05:02 Wed 04-May-16,119.7,28.3695174675,22.4087592553,1343.9071027205,13.7822799791,2668.476709432,1410.4327990494,26282.1875005514,1762.8450254549,50.5239944683,26.9673168341,0.0204873349,0.3356723399,5.0504590114,34.2226113524,0.0064932091,-0.1481972888,40.829175985,13.5310040096,0.1566605513,0.0522404745
NA,87,AO-F-7-5,7,5,97,1705,6,6,NA,NA,97,20:12:35 Wed 04-May-16,134.5,12.3783637928,33.9981001641,1003.5034802233,16.0419562841,2154.1057690131,993.6182547512,34495.5954052095,1847.8140612796,44.4408544679,32.5768736901,0.0328826419,0.2249007043,3.3331393824,25.110811283,0.0191393969,0.0848626991,32.0742502824,22.3847780684,0.1226040852,0.0635821707
NA,69,AO-F-7-6,7,6,77,1685,6,6,NA,NA,77,18:57:32 Wed 04-May-16,127,13.9077607154,30.8317913749,1599.7107511731,33.6333989828,2724.748115133,1035.9409879455,25183.5765666047,2117.5982795742,77.2367858455,36.3950126908,0.0375464879,0.3736485958,4.7724074522,27.320785914,0.0096388459,0.2071125784,34.4630730313,17.6372746752,0.1950902515,0.0754622571
NA,61,AO-F-7-7,7,7,68,1676,6,6,NA,NA,68,18:23:46 Wed 04-May-16,110.2,21.7995894555,48.7760188449,1217.2832238036,39.506814901,2453.9303187492,1424.2417769987,28571.0661292928,1622.6274146443,72.6720918959,26.1806208096,0.0256439722,1.0150798779,5.0716270535,43.473900908,0.0151157553,-0.1285257333,49.7581632542,12.3905887427,0.126384448,0.0403878758
NA,74,AO-F-7-8,7,8,93,1701,6,6,NA,NA,93,19:57:35 Wed 04-May-16,160.5,27.0060072081,28.2693961061,981.2434981905,113.7208419597,2214.6212720781,1236.747715871,30462.6021194667,1941.1195094086,138.0596478817,49.6939340394,0.0882854067,0.3765197,5.8071463246,31.0931245763,0.0325373533,-0.1285179251,20.8982847445,21.1212065185,0.2738323745,0.2935192053
NA,72,AO-F-7-9,7,9,80,1688,6,6,NA,NA,80,19:08:47 Wed 04-May-16,121.4,19.2061939868,20.5447926027,1295.6935438663,91.1171265306,2730.8019359451,1427.6120066412,29259.7050717021,2464.1001967354,129.9914477225,51.1999102894,0.0580710425,0.4022882319,7.5953506202,19.891180171,0.0434587031,-0.1511652439,10.9403163541,26.0951570576,0.6024251301,0.4379462955
NA,59,AO-F-7-10,7,10,56,1664,6,6,NA,NA,56,17:38:45 Wed 04-May-16,101.4,48.2417665297,15.9973605846,1895.3783590271,49.1374866294,2607.428780561,926.3489463927,18827.6822828281,2827.4289327679,80.0110093874,42.1915073374,0.0444837365,0.2951378789,4.7069010942,20.0008904145,0.0334662102,-0.1965464599,23.7255196089,35.7803054205,0.1997013623,0.1106377131
NA,84,AO-F-7-11,7,11,82,1690,6,6,NA,NA,82,19:16:18 Wed 04-May-16,116.2,22.8971998253,11.6186938883,1708.6624684663,61.3077817666,2898.1710377639,992.3710208897,22539.2180141175,3052.984617991,98.3049436822,35.7728811529,0.047404709,0.3417434574,4.3004190113,26.1343243591,0.0258865903,-0.1942358777,26.387945921,37.648943601,0.4092309493,0.0935252751
NA,67,AO-F-7-12,7,12,75,1683,6,6,NA,NA,75,18:50:03 Wed 04-May-16,106.8,20.2825584544,21.1591868072,1035.3534327554,19.7847062121,2159.3003204563,915.1852646567,15904.6345638961,1318.3716895019,38.9486135512,19.6847397064,0.0139375584,0.455870278,3.5071030705,27.3435617953,0.0048151232,0.4060927524,35.235286084,9.1935473026,0.1270263933,0.0808099665
NA,88,AO-F-7-13,7,13,98,1706,6,6,NA,NA,98,20:16:20 Wed 04-May-16,110.4,9.1487554029,23.5980449235,820.5171000089,16.3629911616,2479.941191082,524.6288975018,24833.5237469732,1102.2710143233,42.7438582615,19.959698186,0.0186955149,0.2958040652,1.7901031275,22.7940266791,0.0138389459,-0.0602252355,50.2517490828,13.7182041958,0.0828754748,0.414935806
NA,63,AO-F-7-14,7,14,70,1678,6,6,NA,NA,70,18:31:16 Wed 04-May-16,102.3,21.209222507,10.9717131896,1268.9176972873,25.9390669195,2259.6470318867,909.7101695275,20386.9288102811,1412.6352929805,57.3956750141,20.0084478933,0.0581969876,0.5898425709,4.4260340328,23.3630811241,0.0125839656,-0.0222247319,24.9809024322,9.8025064067,0.1319905146,0.05142773
NA,70,AO-F-7-15,7,15,78,1686,6,6,NA,NA,78,19:01:17 Wed 04-May-16,126.1,9.7380759339,9.3435339178,930.391830238,20.8777345941,2316.8944193077,667.3988599388,22839.6542822146,1427.5458337557,47.7684222454,19.6923436705,0.0362906108,0.217507413,4.0771167758,17.236141411,0.0121079675,-0.3506550666,23.2162876029,10.3233494638,0.1044137308,0.0735814165
NA,85,AO-F-7-16,7,16,95,1703,6,6,NA,NA,95,20:05:05 Wed 04-May-16,187.1,31.5682597574,22.923754529,1686.6497370744,56.1479698275,2414.0326068512,983.814360927,21998.4457101463,2265.7486570821,94.3591946062,39.7105941094,0.1054560018,0.3641729906,5.0671541657,30.088449324,0.026870932,-1.4192345085,38.5335380259,15.310731925,0.1110576843,0.0412032849
NA,82,AO-F-7-17,7,17,84,1692,6,6,NA,NA,84,19:23:48 Wed 04-May-16,130.5,13.3718616662,13.6525936976,1305.7675492511,28.1341318918,2399.0486552457,670.0121424956,26546.9715254747,2139.313222021,48.1622773352,33.9096879117,0.0353042772,0.396284887,3.5356944769,19.4869722556,0.0071322204,0.1070026986,51.6159936899,17.3482796013,0.1471303491,0.0438862906
NA,73,AO-F-7-18,7,18,94,1702,6,6,NA,NA,94,20:01:20 Wed 04-May-16,107.9,36.840749631,31.6891285587,996.2701218497,55.4571393435,2419.3414414318,987.8119709365,15579.5908778854,1595.4236258276,58.4400885533,32.0374954281,0.0337488413,0.3967443356,4.946044803,38.111159332,0.0088779659,-0.5624230738,30.3664491458,10.9136373906,0.0963686504,0.0250398364
NA,60,AO-F-7-19,7,19,55,1663,6,6,NA,NA,55,17:35:00 Wed 04-May-16,101.6,28.1222300371,17.9816059419,789.460400932,20.6227844644,1969.327310186,439.4984993302,14886.2813981615,972.1850570703,42.5928957436,23.5128671014,0.0391096222,0.2097995451,1.8762473157,25.3338598031,0.0165305642,-0.1934338038,19.5418671788,7.2727184046,0.0355969371,0.0318555074
NA,68,AO-F-7-20,7,20,76,1684,6,6,NA,NA,76,18:53:47 Wed 04-May-16,131.1,9.3938869516,16.003762992,1345.8243727511,81.0019684743,2672.8849186067,1186.3287123298,31781.2065300398,1562.7823770133,106.2635371594,20.5921265047,0.03615502,0.3107823552,6.1109637321,28.196165778,0.0075306729,0.7239731043,33.1797809219,14.6097560463,0.1414119862,0.1166782
NA,100,AO-F-8-1,8,1,117,1725,6,6,NA,NA,117,21:27:40 Wed 04-May-16,116,20.3526315084,87.1893163446,1088.806250607,55.2491443322,3435.6605735894,1713.524423772,33676.6040136489,1240.4103437599,78.4458266701,40.9604894949,0.0491393731,0.8358059621,9.4009731047,102.7619236418,0.0091277705,-0.2082298734,17.7259914365,7.8220392093,1.1402607665,0.0850416673
NA,102,AO-F-8-2,8,2,115,1723,6,6,NA,NA,115,21:20:10 Wed 04-May-16,113.2,24.8250242379,57.4180843672,1455.3529999496,44.6552513541,3369.6138283956,2274.4971408241,30100.8027096875,1676.1393138335,101.1567373874,29.1469738774,0.0665343422,0.6593292154,8.8601914438,71.6434944402,0.0103167839,-0.2148645168,15.7427826535,8.0031790639,0.602884785,0.0766651727
NA,127,AO-F-8-3,8,3,140,1748,6,6,NA,NA,140,22:54:00 Wed 04-May-16,101.1,6.4748715982,8.0585046346,1330.7027214658,20.2114210109,2454.7847254634,967.7258723946,36003.7063466538,2233.2548585157,45.5382076776,33.3515526485,0.0263226088,0.5029944163,4.7649464568,46.0439609242,0.0051780757,0.0377305618,16.0269083709,16.3695381279,0.2894584214,0.1132493447
NA,119,AO-F-8-4,8,4,133,1741,6,6,NA,NA,133,22:27:45 Wed 04-May-16,104.6,22.2503624805,22.9312293153,1525.4531931428,38.007471571,3249.7493463926,1565.6000308591,30803.4759547443,2429.843737215,67.9483760262,36.147913081,0.0642138096,0.2283069544,7.5419349682,36.4890102287,0.0032983187,-0.184211193,17.7110767308,16.2292570826,1.1095821578,0.1267990759
NA,133,AO-F-8-5,8,5,148,1756,6,6,NA,NA,148,23:24:02 Wed 04-May-16,98.5,31.7468429307,11.8030308552,1106.8724718689,29.868873514,1965.4363457314,703.1686624796,14781.7061505778,2079.1343544958,57.5830096882,38.6163446232,0.0364191544,0.5177971235,6.7329786317,32.3427067163,0.0030180888,0.153046312,10.2615803372,8.7355098762,0.2007651868,0.0249598948
