plate,numinSet,sample,sampleid,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,run.date,SampleWeight,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
NA,99,AO-1-16,16,118,439,2,2,NA,NA,118,19:49:38 Tue 26-Apr-16,107.1,10.8801978363,316.306507103,1423.8664277724,60.4581724067,726.6426194909,748.2654023219,33532.6534175088,4683.9725316652,116.9655103411,73.161276679,0.0836714779,0.1698562752,6.5269369415,15.5586661956,-0.2116727584,0.5403793972,28.1415390004,22.2958920647,4.6233340427,0.1091348799
NA,96,AO-1-17,17,107,428,2,2,NA,NA,107,19:08:19 Tue 26-Apr-16,105.8,5.5014037649,72.343387169,1636.7606893929,41.3443784999,842.177287799,651.0859836523,31396.7464354425,3934.3314596162,98.5603561125,149.242229433,0.0648101393,0.1659283862,6.9620308457,14.2551075274,-0.0911797413,1.350846188,27.2914434274,16.9921235879,6.6799771505,0.1238368376
NA,95,AO-1-18,18,106,427,2,2,NA,NA,106,19:04:34 Tue 26-Apr-16,107.8,14.5363972101,260.9925192533,1853.8694785707,38.8215422188,805.0414966821,943.2278534506,31201.3242348953,4109.9280103324,80.1914339343,92.7240915078,0.0575953711,0.1368474954,6.338546456,11.9270674311,-0.1961898277,1.8422676169,27.3706355365,20.4012674657,5.0222933892,0.0855751923
NA,92,AO-1-19,19,103,424,2,2,NA,NA,103,18:53:19 Tue 26-Apr-16,110.1,8.7723138978,931.4312000071,1593.7334456955,134.7720615121,542.9091653547,599.4349567013,28758.9738706946,4693.7240574809,319.1537984929,46.4879050163,0.1541966992,0.3400030229,10.6082124925,18.1989719458,-0.3372446802,0.6427716584,16.7403799054,21.7638006961,8.9428036293,0.1872021575
NA,87,AO-1-20,20,97,418,2,2,NA,NA,97,18:30:46 Tue 26-Apr-16,116.3,10.0448182638,172.2029335933,1503.1246158999,45.4864057097,906.8149612058,641.9505093746,31366.3619924336,2375.5489539192,85.9783635402,64.396673157,0.0457284993,0.1008556574,5.1396393096,9.7952580648,-0.1345800187,0.6116418306,28.3427433538,12.0771309513,3.6398224247,0.1042212722
NA,84,AO-1-21,21,82,403,2,2,NA,NA,82,17:34:28 Tue 26-Apr-16,110.5,9.5885364394,202.0351827443,1535.5819530437,24.2598522544,797.871098901,1252.9423915298,21680.1432386798,5729.7121267368,84.3707026934,70.99234177,0.1314648402,0.3070615651,10.5407341523,17.4267293139,-0.089100092,0.6055971783,11.088582371,23.9636232634,8.3482228136,0.244678568
NA,83,AO-1-23,23,83,404,2,2,NA,NA,83,17:38:13 Tue 26-Apr-16,101.8,6.2890487383,147.7536478302,1015.7652225205,45.3216776227,577.1134496957,926.6740600742,32124.147776746,4711.5727284749,94.4081936296,59.0229456205,0.0500417103,0.1773606361,6.3815930655,11.3360962211,-0.1680258285,0.6909507609,21.571999665,21.3216454159,5.29515293,0.1409670566
NA,110,AO-1-24,24,123,444,2,2,NA,NA,123,20:08:28 Tue 26-Apr-16,104.7,6.8170190219,93.3718320458,1187.9046810578,35.6262607597,1251.3255930627,861.3765466752,37075.3730176993,2717.6522774046,71.9297046918,52.0265916158,0.0367464117,0.13178439,5.07970448,14.0823017713,-0.1343007288,0.4451310224,33.6540909159,13.2712851446,1.7772954152,0.1993150647
NA,82,AO-1-25,25,84,405,2,2,NA,NA,84,17:41:58 Tue 26-Apr-16,101.8,15.4118932782,171.21134691,2855.7407036324,32.3233683792,1057.1122486028,768.8370737013,33601.5525218309,4620.1302094669,77.8651337301,49.0223086138,0.0496875291,0.1737963916,8.2831802689,20.7404486998,-0.130557656,0.4787985003,30.1238421201,21.6560699991,6.8453772708,0.130337777
NA,121,AO-1-26,26,147,468,2,2,NA,NA,147,21:38:35 Tue 26-Apr-16,95.5,6.7207057041,133.0613607507,1464.1343072702,38.2790802987,753.5481127621,781.7479124755,29891.0145508398,4337.0949897425,80.5157316889,82.7435187022,0.0366546251,0.312682962,4.6230801719,8.3982367228,-0.089817779,0.4916837081,24.9898349502,21.7507954696,4.3289650662,0.0483960272
NA,116,AO-1-27,27,129,450,2,2,NA,NA,129,20:30:58 Tue 26-Apr-16,100.2,9.7252186276,123.8554303617,1140.3708148904,26.990500075,741.2534034538,1233.686250335,26844.2254503189,2025.5253144185,70.1835961066,53.8788688813,0.0305689862,0.0803756433,5.5870991327,8.5866111748,-0.1318204905,0.5391255528,15.3643094407,11.1498360565,6.4104489686,0.11066919
NA,118,AO-1-28,28,132,453,2,2,NA,NA,132,20:42:17 Tue 26-Apr-16,99.8,8.5611076285,232.7997563855,1881.6567827831,73.0156620552,661.9783921695,926.5917074623,27451.2636147127,5390.7951829106,128.5514201439,73.5430525547,0.0639796166,0.1550861258,9.0301054092,7.922030808,-0.2130782701,0.3920293822,10.0665776741,23.8116409728,11.602826077,0.1810411814
NA,120,AO-1-29,29,134,455,2,2,NA,NA,134,20:49:47 Tue 26-Apr-16,99.7,12.6780878508,248.3271946488,2107.4822053707,60.1295330033,1442.5803872001,1572.863843246,36133.1988052956,4149.6530507006,137.8729907143,77.6050031217,0.0757442595,0.1724268087,9.4425702539,12.3551781859,-0.114494981,0.2778295924,10.251011639,20.5540407568,9.2217094615,0.0526239143
NA,119,AO-1-30,30,133,454,2,2,NA,NA,133,20:46:02 Tue 26-Apr-16,107.1,5.3052790712,98.3177480463,1637.9612348722,20.3459792883,462.212082839,538.4154425904,30139.6020960356,2952.0433933067,49.424533059,55.3557070403,0.0300368009,0.087976827,4.9549123129,7.6369232733,-0.1041579276,0.2745106282,24.7760404996,17.0019653528,4.003816851,0.0871465961
NA,115,AO-1-32,32,128,449,2,2,NA,NA,128,20:27:13 Tue 26-Apr-16,99.3,18.050100958,479.5524578917,2362.1996609054,48.113433781,2033.8099166572,1577.7634525043,39738.4484191764,3787.5673719044,119.8948565516,78.5791246417,0.0456641788,0.148189105,11.6079296675,35.0597188483,-0.1435948092,0.3390371066,19.8488129926,19.5215417953,2.9271727493,0.2379508099
NA,153,AO-1-33,33,165,486,2,2,NA,NA,165,22:46:14 Tue 26-Apr-16,100.7,10.4602120203,392.871579582,1782.6099142262,63.1760775974,480.6423756325,677.5766700071,26075.1480724126,5038.8883348319,112.0535280947,70.5587275562,0.0577371468,0.1657766926,9.7628507426,13.1838961623,-0.1640308663,1.1477143543,19.7090218934,23.9997305309,8.3086239429,0.194708273
NA,113,AO-1-34,34,126,447,2,2,NA,NA,126,20:19:43 Tue 26-Apr-16,100.6,7.2337045123,165.9594965568,2102.4334113779,26.5641981941,746.1101847959,585.0932786008,33378.9261600634,2949.6601583254,61.1147669909,42.0336301487,0.0267482757,0.1002527171,4.304901361,12.0806176609,-0.1027262781,0.2799507708,30.9047719391,16.6723199129,0.6348747092,0.1855177725
NA,71,AO-1-36,36,79,400,2,2,NA,NA,79,17:23:10 Tue 26-Apr-16,96.3,4.5372038132,364.8961035265,2445.8790567129,66.6699850207,1634.8085613036,831.4523225007,33969.4266453813,4267.7303748955,115.9826724355,68.5547173268,0.0629491079,0.26073023,7.2624775735,38.6835259375,-0.0997230194,0.1906936254,23.5517381806,21.1441524864,2.5635112386,0.0651517182
