germday,harvestage,biomass,shoot.root,shoot,root,hairs,final.height,final.stem,final.lvs,avggerm,seeds.planted,totgerms
40,61,1.21,0.5921052632,0.45,0.76,17,10.5,5,5,40,3,1
4,50,1.84,1.8307692308,1.19,0.65,0,48.5,3.73,6,4.5,3,2
3,50,3.7,1.4832214765,2.21,1.49,0,60.8,4.06,7,3.6666666667,3,3
4,50,2.59,1.6161616162,1.6,0.99,2,44.3,3.51,6,6,3,2
3,50,4.44,1.5964912281,2.73,1.71,8,68.6,4.31,6,11,3,2
2,50,3.44,1.4055944056,2.01,1.43,14,44.1,6.76,6,2,3,2
2,50,4.07,0.9473684211,1.98,2.09,8,48.1,6.65,6,2,3,3
3,50,0.75,1.2727272727,0.42,0.33,0,28.9,2.58,5,5.6666666667,3,3
2,50,2.29,1.3854166667,1.33,0.96,0,35.8,5.14,7,3.6666666667,3,3
2,50,3.64,0.801980198,1.62,2.02,7,45.1,3.73,6,2,3,3
3,50,3.12,0.9378881988,1.51,1.61,4,44.3,4.96,6,3,3,1
2,50,2.66,1.2931034483,1.5,1.16,8,NA,4.67,7,2,3,3
2,50,3.84,1.1694915254,2.07,1.77,15,54.6,4.53,6,2.6666666667,3,3
9,49,4.28,1.2645502646,2.39,1.89,0,50,3.97,6,12.5,3,2
7,51,2.79,1.5135135135,1.68,1.11,0,35.3,6.38,7,19,3,2
34,50,2.1,0.875,0.98,1.12,0,21.5,3.76,6,34,3,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
2,50,4.19,1.004784689,2.1,2.09,9,46.6,5.48,7,2.3333333333,3,3
2,50,2.63,1.4811320755,1.57,1.06,0,45.3,4.66,6,2,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
19,49,3.97,1.6118421053,2.45,1.52,0,29.2,8,5,19,3,1
3,50,4.08,0.7215189873,1.71,2.37,0,29.8,6.09,7,3.6666666667,3,3
3,50,3.96,1.0842105263,2.06,1.9,0,40.1,5.78,6,3,3,1
2,50,4.45,1.1601941748,2.39,2.06,0,45.1,5.36,7,2,3,2
3,50,5.65,1.2420634921,3.13,2.52,2,51,7.08,7,11,3,2
2,50,4.87,0.8730769231,2.27,2.6,0,49.2,6.1,6,2,3,2
4,50,2.97,1.6283185841,1.84,1.13,0,43.3,4.19,7,6.5,3,2
3,50,4.17,1.4104046243,2.44,1.73,0,42.6,6.33,7,3.3333333333,3,3
3,50,3.31,1.1633986928,1.78,1.53,6,46.1,5.31,6,3,3,3
17,51,2.48,1.2545454545,1.38,1.1,0,16.4,8,7,17,3,1
10,51,4.98,1.1101694915,2.62,2.36,5,40.3,4.54,6,11.5,3,2
7,51,4.08,1.5341614907,2.47,1.61,5,37.5,5.8,7,23.5,3,2
3,50,3.03,1.3488372093,1.74,1.29,1,42.2,4.39,7,8,3,3
2,50,2.55,1.0564516129,1.31,1.24,0,29.4,3.87,7,2,3,3
2,50,3.67,1.6028368794,2.26,1.41,0,34.9,6.93,6,2,2,1
4,50,1.8,1.7272727273,1.14,0.66,4,37.7,3.89,6,4,3,3
3,50,3.56,1.253164557,1.98,1.58,0,41.6,5.06,6,4.3333333333,3,3
2,50,4.23,1.64375,2.63,1.6,0,47.5,5.87,6,3.3333333333,3,3
3,50,4.27,1.4825581395,2.55,1.72,3,43.7,4.83,6,3.5,3,2
2,50,2.42,1.3047619048,1.37,1.05,0,30.3,6.44,6,2,3,3
9,49,4.77,1.3268292683,2.72,2.05,18,48.4,4.45,6,9,3,1
5,50,2.32,2.012987013,1.55,0.77,34,37.9,5.42,7,5,2,1
6,50,3.98,0.8862559242,1.87,2.11,3,29.2,7.63,7,7.5,3,2
4,50,3.77,1.1179775281,1.99,1.78,2,43.9,6,7,4.5,3,2
21,51,3.12,1.328358209,1.78,1.34,21,22,5,7,27.6666666667,3,3
3,50,3.24,0.8728323699,1.51,1.73,0,21.7,8.64,6,4.6666666667,3,3
18,50,2.57,0.9769230769,1.27,1.3,0,19,8.4,5,19.3333333333,3,3
2,50,4.92,0.9446640316,2.39,2.53,3,35.2,7.84,6,2.3333333333,3,3
3,50,3.91,1.1843575419,2.12,1.79,0,49.3,5.33,7,4,3,2
3,50,2.72,1.5420560748,1.65,1.07,0,52.9,3.63,7,4.75,4,4
2,50,4.17,1.2663043478,2.33,1.84,0,NA,6.19,6,2.3333333333,3,3
3,50,3.02,1.2205882353,1.66,1.36,5,49,4.26,6,3.5,3,2
16,49,3.54,0.9032258065,1.68,1.86,0,32,7.5,6,21,3,2
4,50,1.48,0.9220779221,0.71,0.77,1,19,6.39,6,8,3,2
3,50,3.38,1.152866242,1.81,1.57,0,45.1,4.42,6,7,3,3
4,50,2.84,1.406779661,1.66,1.18,4,39,4.66,6,6.6666666667,3,3
4,50,3.61,1.375,2.09,1.52,5,31.2,8.11,6,7.5,3,2
2,50,3.41,1.1180124224,1.8,1.61,0,25.1,7.96,6,2,3,1
2,50,3.98,1.1058201058,2.09,1.89,6,NA,4.87,6,2,3,3
17,51,3.16,1.46875,1.88,1.28,0,24.7,5.8,6,17,3,1
5,50,4.67,0.9621848739,2.29,2.38,0,21.1,9.49,7,9.5,3,2
2,50,2.84,1.3666666667,1.64,1.2,4,46.7,2.96,7,4.6666666667,3,3
2,50,3.26,1.3120567376,1.85,1.41,11,37.5,6.42,6,4.75,4,4
2,50,3.08,1.1388888889,1.64,1.44,0,44.9,5.7,7,10,3,3
2,50,4.02,1.3647058824,2.32,1.7,3,45.9,6.21,6,2,3,3
2,50,1.64,1.447761194,0.97,0.67,9,35.3,4.91,6,2.5,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,3.93,1.0051020408,1.97,1.96,0,32.8,6.39,6,5.6666666667,3,3
2,50,3.74,0.8606965174,1.73,2.01,4,35.9,6.3,7,2,3,2
3,50,4.26,1.4482758621,2.52,1.74,0,37.7,8.85,7,4.3333333333,3,3
4,50,3.98,0.9043062201,1.89,2.09,17,41.7,4.82,7,6.3333333333,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
2,50,3.45,1.1974522293,1.88,1.57,8,43.7,5.36,7,3.6666666667,3,3
2,50,4.39,1.2284263959,2.42,1.97,2,51.3,4.67,6,2.6666666667,3,3
2,50,3.2,1.3188405797,1.82,1.38,0,38.4,6.28,6,2.6666666667,3,3
