12,19,26,38,45,NA
8,15,22,34,41,50
9,16,23,35,42,50
9,16,23,35,42,50
10,17,24,36,43,50
8,15,22,34,41,50
3,10,17,29,36,51
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
10,17,24,36,43,50
11,18,25,37,44,50
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
9,16,23,35,42,50
11,18,25,37,44,50
6,13,20,32,39,51
9,16,23,35,42,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
9,16,23,35,42,50
11,18,25,37,44,50
11,18,25,37,44,50
8,15,22,34,41,50
10,17,24,36,43,50
11,18,25,37,44,50
10,17,24,36,43,50
8,15,22,34,41,50
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
10,17,24,36,43,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
11,18,25,37,44,50
3,10,17,29,36,51
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
1,8,15,27,34,49
NA,1,8,20,27,49
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
9,16,23,35,42,50
8,15,22,34,41,50
NA,NA,NA,NA,NA,NA
8,15,22,34,41,50
7,14,21,33,40,50
5,12,19,31,38,50
7,14,21,33,40,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
11,18,25,37,44,50
NA,3,10,22,29,51
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
10,17,24,36,43,50
NA,NA,NA,NA,NA,NA
11,18,25,37,44,50
NA,6,13,25,32,51
11,18,25,37,44,50
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
9,16,23,35,42,50
11,18,25,37,44,50
8,15,22,34,41,50
NA,NA,NA,NA,6,61
9,16,23,35,42,50
10,17,24,36,43,50
9,16,23,35,42,50
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
4,11,18,30,37,49
6,13,20,32,39,51
NA,NA,NA,5,12,50
NA,NA,NA,NA,NA,NA
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
NA,1,8,20,27,49
10,17,24,36,43,50
10,17,24,36,43,50
11,18,25,37,44,50
10,17,24,36,43,50
11,18,25,37,44,50
9,16,23,35,42,50
10,17,24,36,43,50
10,17,24,36,43,50
NA,3,10,22,29,51
3,10,17,29,36,51
6,13,20,32,39,51
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
9,16,23,35,42,50
10,17,24,36,43,50
11,18,25,37,44,50
10,17,24,36,43,50
11,18,25,37,44,50
4,11,18,30,37,49
8,15,22,34,41,50
7,14,21,33,40,50
9,16,23,35,42,50
NA,NA,6,18,25,51
10,17,24,36,43,50
NA,2,9,21,28,50
11,18,25,37,44,50
10,17,24,36,43,50
10,17,24,36,43,50
11,18,25,37,44,50
10,17,24,36,43,50
NA,4,11,23,30,49
9,16,23,35,42,50
10,17,24,36,43,50
9,16,23,35,42,50
9,16,23,35,42,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,3,10,22,29,51
8,15,22,34,41,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
11,18,25,37,44,50
10,17,24,36,43,50
9,16,23,35,42,50
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,NA,NA,3,58
11,18,25,37,44,50
9,16,23,35,42,50
9,16,23,35,42,50
11,18,25,37,44,50
11,18,25,37,44,50
10,17,24,36,43,50
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
10,17,24,36,43,50
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
3,10,17,29,36,51
11,18,25,37,44,50
8,15,22,34,41,50
11,18,25,37,44,50
11,18,25,37,44,50
8,15,22,34,41,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,2,14,21,52
11,18,25,37,44,50
6,13,20,32,39,51
11,18,25,37,44,50
10,17,24,36,43,50
11,18,25,37,44,50
10,17,24,36,43,50
NA,NA,NA,NA,NA,NA
7,14,21,33,40,50
2,9,16,28,35,50
11,18,25,37,44,50
10,17,24,36,43,50
11,18,25,37,44,50
NA,6,13,25,32,51
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
NA,NA,2,11,18,49
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
7,14,21,33,40,50
11,18,25,37,44,50
10,17,24,36,43,50
7,14,21,33,40,50
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
10,17,24,36,43,50
8,15,22,34,41,50
NA,1,8,20,27,49
6,13,20,32,39,51
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
11,18,25,37,44,50
8,15,22,34,41,50
9,16,23,35,42,50
NA,5,12,24,31,50
10,17,24,36,43,50
11,18,25,37,44,50
NA,5,12,24,31,50
10,17,24,36,43,50
11,18,25,37,44,50
NA,NA,NA,4,11,66
6,13,20,32,39,51
11,18,25,37,44,50
9,16,23,35,42,50
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,7,14,26,33,50
NA,NA,NA,NA,NA,42
11,18,25,37,44,50
11,18,25,37,44,50
NA,5,12,24,31,50
NA,7,14,26,33,50
10,17,24,36,43,50
NA,NA,1,13,20,51
7,14,21,33,40,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,NA,NA,3,58
11,18,25,37,44,50
10,17,24,36,43,50
9,16,23,35,42,50
11,18,25,37,44,50
9,16,23,35,42,50
8,15,22,34,41,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,7,14,26,33,50
11,18,25,37,44,50
3,10,17,29,36,51
NA,NA,6,18,25,51
11,18,25,37,44,50
10,17,24,36,43,50
NA,4,11,23,30,49
11,18,25,37,44,50
9,16,23,35,42,50
NA,5,12,24,31,50
11,18,25,37,44,50
NA,6,13,25,32,51
10,17,24,36,43,50
9,16,23,35,42,50
NA,4,11,23,30,49
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,4,11,23,30,49
10,17,24,36,43,50
10,17,24,36,43,50
NA,NA,6,18,25,51
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
8,15,22,34,41,50
11,18,25,37,44,50
NA,3,10,22,29,51
11,18,25,37,44,50
10,17,24,36,43,50
10,17,24,36,43,50
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
11,18,25,37,44,50
10,17,24,36,43,50
9,16,23,35,42,50
11,18,25,37,44,50
7,14,21,33,40,50
10,17,24,36,43,50
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
11,18,25,37,44,50
NA,5,12,24,31,50
NA,2,9,21,28,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
11,18,25,37,44,50
NA,NA,NA,NA,NA,29
11,18,25,37,44,50
11,18,25,37,44,50
7,14,21,33,40,50
NA,NA,NA,NA,NA,NA
8,15,22,34,41,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
11,18,25,37,44,50
NA,2,9,21,28,50
NA,4,11,23,30,49
9,16,23,35,42,50
11,18,25,37,44,50
9,16,23,35,42,50
8,15,22,34,41,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
NA,3,10,22,29,51
9,16,23,35,42,50
11,18,25,37,44,50
10,17,24,36,43,50
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
10,17,24,36,43,50
10,17,24,36,43,50
4,11,18,30,37,49
2,9,16,28,35,50
11,18,25,37,44,50
NA,4,11,23,30,49
10,17,24,36,43,50
NA,NA,NA,NA,NA,NA
9,16,23,35,42,50
11,18,25,37,44,50
9,16,23,35,42,50
4,11,18,30,37,49
4,11,18,30,37,49
11,18,25,37,44,50
9,16,23,35,42,50
8,15,22,34,41,50
2,9,16,28,35,50
9,16,23,35,42,50
9,16,23,35,42,50
10,17,24,36,43,50
NA,NA,NA,4,11,66
10,17,24,36,43,50
2,9,16,28,35,50
7,14,21,33,40,50
9,16,23,35,42,50
10,17,24,36,43,50
4,11,18,30,37,49
NA,NA,NA,NA,NA,NA
1,8,15,27,34,49
NA,6,13,25,32,51
10,17,24,36,43,50
9,16,23,35,42,50
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
9,16,23,35,42,50
8,15,22,34,41,50
11,18,25,37,44,50
5,12,19,31,38,50
NA,1,8,20,27,49
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
NA,NA,7,19,26,49
10,17,24,36,43,50
7,14,21,33,40,50
10,17,24,36,43,50
1,8,15,27,34,51
11,18,25,37,44,50
10,17,24,36,43,50
10,17,24,36,43,50
NA,7,14,26,33,50
NA,NA,2,11,18,49
10,17,24,36,43,50
10,17,24,36,43,50
10,17,24,36,43,50
10,17,24,36,43,50
9,16,23,35,42,50
8,15,22,34,41,50
7,14,21,33,40,50
9,16,23,35,42,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
7,14,21,33,40,50
8,15,22,34,41,50
NA,2,9,21,28,50
10,17,24,36,43,50
11,18,25,37,44,50
NA,3,10,22,29,51
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,6,18,25,51
10,17,24,36,43,50
10,17,24,36,43,50
NA,NA,NA,7,14,49
11,18,25,37,44,50
9,16,23,35,42,50
11,18,25,37,44,50
6,13,20,32,39,51
11,18,25,37,44,50
11,18,25,37,44,50
10,17,24,36,43,50
11,18,25,37,44,50
10,17,24,36,43,50
7,14,21,33,40,50
11,18,25,37,44,50
10,17,24,36,43,50
10,17,24,36,43,50
9,16,23,35,42,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
11,18,25,37,44,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
7,14,21,33,40,50
10,17,24,36,43,50
10,17,24,36,43,50
9,16,23,35,42,50
2,9,16,28,35,50
6,13,20,32,39,51
11,18,25,37,44,50
NA,NA,NA,NA,3,58
10,17,24,36,43,50
9,16,23,35,42,50
10,17,24,36,43,50
10,17,24,36,43,50
8,15,22,34,41,50
10,17,24,36,43,50
11,18,25,37,44,50
10,17,24,36,43,50
8,15,22,34,41,50
11,18,25,37,44,50
NA,NA,NA,NA,NA,NA
10,17,24,36,43,50
10,17,24,36,43,50
11,18,25,37,44,50
NA,5,12,24,31,50
1,8,15,27,34,51
11,18,25,37,44,50
11,18,25,37,44,50
10,17,24,36,43,50
11,18,25,37,44,50
10,17,24,36,43,50
9,16,23,35,42,50
10,17,24,36,43,50
11,18,25,37,44,50
8,16,22,34,41,50
NA,NA,NA,NA,4,59
10,18,24,36,43,50
NA,4,10,22,29,51
NA,8,14,26,33,50
10,18,24,36,43,50
11,19,25,37,44,50
10,18,24,36,43,50
10,18,24,36,43,50
11,19,25,37,44,50
11,19,25,37,44,50
11,19,25,37,44,50
1,9,15,27,34,51
11,19,25,37,44,50
10,18,24,36,43,50
10,18,24,36,43,50
8,16,22,34,41,50
10,18,24,36,43,50
NA,8,14,26,33,50
10,18,24,36,43,50
NA,NA,NA,NA,NA,37
10,18,24,36,43,50
11,19,25,37,44,50
10,18,24,36,43,50
1,9,15,27,35,49
7,15,21,33,41,50
NA,NA,NA,NA,NA,NA
10,18,24,36,44,50
9,17,23,35,43,50
10,18,24,36,44,50
10,18,24,36,44,50
10,18,24,36,44,50
10,18,24,36,44,50
6,14,20,32,40,51
7,15,21,33,41,50
10,18,24,36,44,50
10,18,24,36,44,50
NA,NA,1,10,18,52
8,16,22,34,42,50
6,14,20,32,40,51
4,12,18,30,38,49
10,18,24,36,44,50
8,16,22,34,42,50
NA,NA,NA,NA,NA,NA
10,18,24,36,44,50
8,16,22,34,42,50
11,19,25,37,45,50
10,18,24,36,44,50
NA,NA,NA,NA,NA,NA
6,14,22,32,40,51
10,18,26,36,44,50
9,17,25,35,43,50
8,16,24,34,42,50
NA,NA,NA,NA,NA,NA
10,18,26,36,44,50
8,16,22,34,42,50
10,18,24,36,44,50
10,18,24,36,44,50
10,18,24,36,44,50
5,13,19,31,39,50
NA,5,11,23,31,49
10,18,26,36,44,50
10,18,26,36,44,50
NA,2,10,20,28,49
11,19,27,37,45,50
1,9,17,27,35,49
6,14,22,32,40,51
9,17,23,35,43,50
NA,NA,NA,NA,NA,NA
10,18,24,36,44,50
10,18,24,36,44,50
8,16,22,34,42,50
1,9,15,27,35,49
10,18,26,36,44,50
10,18,26,36,44,50
NA,4,12,22,30,51
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
10,18,26,36,44,50
10,18,26,36,44,50
10,18,26,36,44,50
8,16,24,34,42,50
9,17,25,35,43,50
10,18,26,36,44,50
7,15,23,33,41,50
NA,NA,NA,2,10,50
5,13,21,31,39,50
NA,NA,NA,NA,NA,NA
4,12,20,30,38,49
9,17,25,35,43,50
7,15,23,33,41,50
9,17,25,35,43,50
9,17,25,35,43,50
NA,3,11,21,29,50
NA,3,11,21,29,50
9,17,25,35,43,50
10,18,26,36,44,50
10,18,26,36,44,50
NA,NA,NA,NA,5,59
9,17,25,35,43,50
10,18,26,36,44,50
9,17,25,35,43,50
9,17,25,35,43,50
10,18,26,36,44,50
5,13,21,31,39,50
10,18,26,36,44,50
9,17,25,35,43,50
9,17,25,35,43,50
NA,NA,NA,NA,NA,NA
NA,3,11,21,29,50
7,15,23,33,41,50
9,17,25,35,43,50
7,15,23,33,41,50
10,18,26,36,44,50
10,18,26,36,44,50
9,17,26,35,43,50
NA,4,13,22,30,51
8,16,25,34,42,50
9,17,26,35,43,50
10,18,27,36,44,50
NA,8,17,26,34,50
9,17,26,35,43,50
NA,5,14,23,31,49
8,16,25,34,42,50
6,14,23,32,40,49
10,18,27,36,44,50
9,17,26,35,43,50
9,17,26,35,43,50
NA,NA,NA,3,11,50
10,18,27,36,44,50
10,18,27,36,44,50
NA,NA,NA,NA,NA,NA
9,17,26,35,43,50
NA,4,13,22,30,51
5,13,22,31,39,50
9,17,26,35,43,50
NA,3,12,21,29,50
NA,NA,NA,9,17,51
NA,8,17,26,34,50
11,19,28,37,45,50
10,18,27,36,44,50
NA,NA,NA,NA,NA,NA
9,17,26,35,43,50
10,18,27,36,44,50
11,19,28,37,45,50
8,16,25,34,42,50
8,16,25,34,42,50
NA,NA,NA,NA,NA,NA
10,18,27,36,44,50
9,17,26,35,43,50
NA,NA,NA,NA,NA,NA
8,16,25,34,42,50
NA,NA,9,18,26,51
NA,NA,NA,NA,NA,NA
6,14,23,32,40,49
NA,2,11,20,28,49
11,19,28,37,45,50
8,16,25,34,42,50
10,18,27,36,44,50
7,15,24,33,41,50
NA,5,14,23,31,49
10,18,27,36,44,50
9,17,26,35,43,50
9,17,26,35,43,50
10,18,27,36,44,50
NA,8,17,26,34,50
9,17,26,35,43,50
9,17,26,35,43,50
10,18,27,36,44,50
NA,2,11,20,28,49
NA,NA,NA,NA,NA,NA
9,17,26,35,43,50
10,18,27,36,44,50
10,18,27,36,44,50
10,18,27,36,44,50
10,18,27,36,44,50
7,15,24,33,41,50
NA,NA,NA,NA,NA,NA
10,18,27,36,44,50
NA,3,12,21,29,50
NA,7,16,25,33,51
10,18,27,36,44,50
NA,6,15,24,32,50
10,18,27,36,44,50
5,13,22,31,39,50
NA,NA,NA,NA,7,61
7,15,24,33,41,50
10,18,27,36,44,50
8,16,25,34,42,50
8,16,25,34,42,50
9,17,26,35,43,50
8,16,25,34,42,50
NA,3,12,21,29,50
NA,4,13,22,30,51
9,17,26,35,43,50
NA,NA,NA,8,16,50
9,17,26,35,43,50
9,17,26,35,43,50
10,18,27,36,44,50
NA,2,11,20,28,49
1,9,18,27,35,51
NA,NA,NA,NA,NA,NA
10,18,27,36,44,50
6,14,23,32,40,49
NA,8,17,26,34,50
NA,4,13,22,30,51
9,17,26,35,43,50
11,19,28,37,45,50
7,15,24,33,41,50
9,17,26,35,43,50
NA,NA,7,16,24,49
7,15,24,33,41,50
7,15,24,33,41,50
NA,NA,NA,NA,NA,40
9,17,26,35,43,50
9,17,26,35,43,50
NA,4,13,22,30,51
9,17,26,35,43,50
7,15,24,33,41,50
NA,NA,NA,NA,NA,NA
10,18,27,36,44,50
NA,NA,NA,NA,NA,NA
9,17,26,35,43,50
9,17,26,35,43,50
9,17,26,35,43,50
9,17,26,35,43,50
9,17,26,35,43,50
8,16,25,34,42,50
8,16,25,34,42,50
10,18,27,36,44,50
NA,8,17,26,34,50
NA,2,11,20,28,50
10,18,27,36,44,50
NA,NA,NA,NA,NA,NA
10,18,27,36,44,50
NA,NA,9,18,26,51
NA,NA,NA,NA,NA,NA
10,18,27,36,44,50
7,15,24,33,41,50
NA,NA,NA,5,13,67
9,17,26,35,43,50
8,16,25,34,42,50
7,15,24,33,41,50
NA,2,11,20,28,49
8,16,25,34,42,50
2,10,19,28,36,50
10,18,27,36,44,50
9,17,26,35,43,50
9,17,26,35,43,50
3,11,20,29,37,51
9,17,26,35,43,50
9,17,26,35,43,50
10,18,27,36,44,50
