Number....Ladpt...1.,Plant,Mom,soil.abv,soil.full,soil.combo,SA,SAN
AMO-1-112,DA,58,TC,TC,TC,A,A
AMO-1-113,CL,95,M,M,M,A,A
AMO-1-114,MT,44,TP,TP,TP,A,A
AMO-1-115,FP,77,TC,TC,TC,A,A
AMO-1-116,MT,42,TP,TP,TP,A,A
AMO-1-117,TX,30,H,TX,H,S,S
AMO-1-118,M,24,TP,TP,TP,A,A
AMO-1-119,TX,35,TP,TP,TP,A,A
AMO-1-120,TX,26,H,TX,H,S,S
AMO-1-121,CU,113,TX,TX,TX,A,A
AMO-1-122,TP,12,TC,TC,TC,A,A
AMO-1-123,DA,53,M,M,M,A,A
AMO-1-124,DA,50,TP,TP,TP,A,A
AMO-1-125,CU,117,TC,TC,TC,A,A
AMO-1-126,CU,119,H,CU,H,S,S
AMO-1-127,MC,69,TX,TX,TX,A,A
AMO-1-128,M,23,TC,TC,TC,A,A
AMO-1-129,TP,9,N,N,N,A,NA
AMO-1-130,TX,33,TC,TC,TC,A,A
AMO-1-131,TX,32,H,TX,H,S,S
AMO-1-132,MT,46,TP,TP,TP,A,A
AMO-1-133,DA,60,M,M,M,A,A
AMO-1-134,CL,92,M,M,M,A,A
AMO-1-135,TX,34,TX,TX,H,S,S
AMO-1-136,TP,9,M,M,M,A,A
AMO-1-137,MC,67,H,MC,H,S,S
AMO-1-138,CL,92,TP,TP,TP,A,A
AMO-1-139,FP,76,M,M,M,A,A
AMO-1-140,CU,120,TP,TP,TP,A,A
AMO-1-141,TC,104,H,TC,H,S,S
AMO-1-142,M,23,TX,TX,TX,A,A
AMO-1-143,CL,93,M,M,M,A,A
AMO-1-144,TC,103,N,N,N,A,NA
AMO-1-145,CL,85,TP,TP,TP,A,A
AMO-1-146,MT,37,M,M,M,A,A
AMO-1-147,M,15,M,M,H,S,S
AMO-1-148,CL,90,H,CL,H,S,S
AMO-1-149,CL,92,TX,TX,TX,A,A
AMO-1-150,TC,97,TP,TP,TP,A,A
AMO-1-151,FP,77,TP,TP,TP,A,A
AMO-1-152,FP,81,M,M,M,A,A
AMO-1-153,MC,70,TC,TC,TC,A,A
AMO-1-154,CU,119,TX,TX,TX,A,A
AMO-1-155,M,16,M,M,H,S,S
AMO-1-156,CU,118,H,CU,H,S,S
AMO-1-157,TX,29,TP,TP,TP,A,A
AMO-1-158,MT,44,TC,TC,TC,A,A
AMO-1-159,MT,42,TX,TX,TX,A,A
AMO-1-160,M,19,TP,TP,TP,A,A
AMO-1-161,FP,80,TC,TC,TC,A,A
AMO-1-162,CU,110,TP,TP,TP,A,A
AMO-1-163,MC,69,TC,TC,TC,A,A
AMO-1-164,MT,48,H,MT,H,S,S
AMO-1-165,MT,44,M,M,M,A,A
AMO-1-166,TC,105,M,M,M,A,A
AMO-1-167,CU,120,TX,TX,TX,A,A
AMO-1-168,CU,110,TC,TC,TC,A,A
AMO-1-169,TC,101,TC,TC,H,S,S
AMO-1-170,TP,4,TC,TC,TC,A,A
AMO-1-171,FP,83,TC,TC,TC,A,A
AMO-1-172,FP,81,N,N,N,A,NA
AMO-1-173,DA,54,TP,TP,TP,A,A
AMO-1-174,FP,78,M,M,M,A,A
AMO-1-175,CU,119,TC,TC,TC,A,A
AMO-1-176,FP,79,N,N,N,A,NA
AMO-1-177,CL,88,TP,TP,TP,A,A
AMO-1-178,M,23,M,M,H,S,S
AMO-1-179,MC,62,TP,TP,TP,A,A
AMO-1-180,CU,116,TP,TP,TP,A,A
AMO-1-181,CL,91,M,M,M,A,A
AMO-1-182,DA,58,M,M,M,A,A
AMO-1-183,CL,90,M,M,M,A,A
AMO-1-184,MC,68,H,MC,H,S,S
AMO-1-185,FP,83,N,N,N,A,NA
AMO-1-186,M,21,TC,TC,TC,A,A
AMO-1-187,MC,61,TP,TP,TP,A,A
AMO-1-188,TP,9,TX,TX,TX,A,A
AMO-1-189,TC,105,TX,TX,TX,A,A
AMO-1-190,FP,75,M,M,M,A,A
AMO-1-191,TX,29,M,M,M,A,A
AMO-1-192,FP,76,H,FP,H,S,S
AMO-1-193,TC,99,M,M,M,A,A
AMO-1-194,TX,34,M,M,M,A,A
AMO-1-195,M,19,H,M,H,S,S
AMO-1-196,TC,105,N,N,N,A,NA
AMO-1-197,MT,47,TX,TX,TX,A,A
AMO-1-198,TX,33,M,M,M,A,A
AMO-1-199,TP,3,N,N,N,A,NA
AMO-1-200,TX,26,M,M,M,A,A
AMO-1-201,TC,101,N,N,N,A,NA
AMO-1-202,DA,58,TX,TX,TX,A,A
AMO-1-203,TC,104,TP,TP,TP,A,A
AMO-1-204,MC,65,M,M,M,A,A
AMO-1-205,MT,47,H,MT,H,S,S
AMO-1-206,MT,39,TC,TC,TC,A,A
AMO-1-207,CL,94,M,M,M,A,A
AMO-1-208,MC,61,N,N,N,A,NA
AMO-1-209,TP,8,N,N,N,A,NA
AMO-1-210,DA,56,TC,TC,TC,A,A
AMO-1-211,DA,56,TP,TP,TP,A,A
AMO-1-212,M,17,M,M,H,S,S
AMO-1-213,MT,43,TP,TP,TP,A,A
AMO-1-214,TX,25,TC,TC,TC,A,A
AMO-1-215,FP,79,TX,TX,TX,A,A
AMO-1-216,TX,29,TX,TX,H,S,S
AMO-1-217,MC,64,M,M,M,A,A
AMO-1-218,FP,83,M,M,M,A,A
AMO-1-219,FP,81,H,FP,H,S,S
AMO-1-220,CU,111,TP,TP,TP,A,A
AMO-1-221,MT,45,TX,TX,TX,A,A
AMO-1-222,CL,85,TX,TX,TX,A,A
AMO-1-223,MT,43,M,M,M,A,A
AMO-1-224,MT,38,H,MT,H,S,S
AMO-1-225,M,18,TP,TP,TP,A,A
AMO-1-226,CL,88,TC,TC,TC,A,A
AMO-1-227,TC,104,TX,TX,TX,A,A
AMO-1-228,DA,53,TP,TP,TP,A,A
AMO-1-229,TX,34,N,N,N,A,NA
AMO-1-230,TP,8,M,M,M,A,A
AMO-1-231,MC,64,TC,TC,TC,A,A
AMO-1-232,CU,118,TC,TC,TC,A,A
AMO-1-233,MT,48,TX,TX,TX,A,A
AMO-1-234,CL,95,TC,TC,TC,A,A
AMO-1-235,FP,82,N,N,N,A,NA
AMO-1-236,MT,42,TC,TC,TC,A,A
AMO-1-237,TX,30,TP,TP,TP,A,A
AMO-1-238,CL,89,TX,TX,TX,A,A
AMO-1-239,MT,48,N,N,N,A,NA
AMO-1-240,TX,32,TC,TC,TC,A,A
AMO-1-241,MC,66,H,MC,H,S,S
AMO-1-242,CL,96,H,CL,H,S,S
AMO-1-243,MT,39,TP,TP,TP,A,A
AMO-1-244,M,13,TC,TC,TC,A,A
AMO-1-245,TC,97,N,N,N,A,NA
AMO-1-246,CU,120,M,M,M,A,A
AMO-1-247,TX,30,M,M,M,A,A
AMO-1-248,M,14,H,M,H,S,S
AMO-1-249,MT,41,TP,TP,TP,A,A
AMO-1-250,DA,52,H,DA,H,S,S
AMO-1-251,TX,28,TP,TP,TP,A,A
AMO-1-252,FP,81,TX,TX,TX,A,A
AMO-1-253,CL,87,N,N,N,A,NA
