Number....Ladpt...1.,Plant,Mom,soil.abv,soil.full,soil.combo,SA,SAN
AMO-1-558,CU,111,N,N,N,A,NA
AMO-1-559,TP,1,N,N,N,A,NA
AMO-1-560,TX,35,N,N,N,A,NA
AMO-1-561,CU,110,N,N,N,A,NA
AMO-1-562,TP,12,H,TP,H,S,S
AMO-1-563,MC,69,N,N,N,A,NA
AMO-1-564,DA,59,TX,TX,TX,A,A
AMO-1-565,CL,93,TX,TX,TX,A,A
AMO-1-566,M,22,TX,TX,TX,A,A
AMO-1-567,MT,41,TX,TX,TX,A,A
AMO-1-568,CU,120,H,CU,H,S,S
AMO-1-569,M,19,TX,TX,TX,A,A
AMO-1-570,TC,98,M,M,M,A,A
AMO-1-571,TP,7,M,M,M,A,A
AMO-1-572,MT,40,TP,TP,TP,A,A
AMO-1-573,CU,119,TP,TP,TP,A,A
AMO-1-574,TP,11,TP,TP,H,S,S
AMO-1-575,MC,63,M,M,M,A,A
AMO-1-576,TC,102,TX,TX,TX,A,A
AMO-1-577,M,23,TP,TP,TP,A,A
AMO-1-578,DA,55,TP,TP,TP,A,A
AMO-1-579,TC,97,TC,TC,H,S,S
AMO-1-580,MC,61,M,M,M,A,A
AMO-1-581,MC,66,TX,TX,TX,A,A
AMO-1-582,TP,6,N,N,N,A,NA
AMO-1-583,TC,104,M,M,M,A,A
AMO-1-584,TP,3,TP,TP,H,S,S
AMO-1-585,TX,31,TC,TC,TC,A,A
AMO-1-586,TC,105,TP,TP,TP,A,A
AMO-1-587,TX,25,M,M,M,A,A
AMO-1-588,FP,75,TX,TX,TX,A,A
AMO-1-589,TC,97,TX,TX,TX,A,A
AMO-1-590,MT,39,H,MT,H,S,S
AMO-1-591,DA,60,TX,TX,TX,A,A
AMO-1-592,TX,34,H,TX,H,S,S
AMO-1-593,MC,65,TX,TX,TX,A,A
AMO-1-594,TX,34,TC,TC,TC,A,A
AMO-1-595,CL,95,TP,TP,TP,A,A
AMO-1-596,M,20,TC,TC,TC,A,A
AMO-1-597,TC,97,H,TC,H,S,S
AMO-1-598,FP,84,TC,TC,TC,A,A
AMO-1-599,M,17,H,M,H,S,S
AMO-1-600,DA,60,N,N,N,A,NA
AMO-1-601,TX,27,TP,TP,TP,A,A
AMO-1-602,TC,103,H,TC,H,S,S
AMO-1-603,FP,82,H,FP,H,S,S
AMO-1-604,DA,49,TC,TC,TC,A,A
AMO-1-605,DA,55,TC,TC,TC,A,A
AMO-1-606,MT,46,TX,TX,TX,A,A
AMO-1-607,CL,89,M,M,M,A,A
AMO-1-608,TC,98,TC,TC,H,S,S
AMO-1-609,MC,72,N,N,N,A,NA
AMO-1-610,DA,51,M,M,M,A,A
AMO-1-611,FP,73,H,FP,H,S,S
AMO-1-612,CL,87,M,M,M,A,A
AMO-1-613,CL,85,N,N,N,A,NA
AMO-1-614,TC,100,N,N,N,A,NA
AMO-1-615,TP,10,TX,TX,TX,A,A
AMO-1-616,CU,117,M,M,M,A,A
AMO-1-617,TP,1,TP,TP,H,S,S
AMO-1-618,TX,30,N,N,N,A,NA
AMO-1-619,CL,94,TP,TP,TP,A,A
AMO-1-620,MC,72,M,M,M,A,A
AMO-1-621,MC,67,TP,TP,TP,A,A
AMO-1-622,CU,115,TX,TX,TX,A,A
AMO-1-623,CU,113,H,CU,H,S,S
AMO-1-624,CU,112,N,N,N,A,NA
AMO-1-625,TX,35,H,TX,H,S,S
AMO-1-626,FP,80,N,N,N,A,NA
AMO-1-627,DA,53,H,DA,H,S,S
AMO-1-628,DA,50,N,N,N,A,NA
AMO-1-629,FP,77,M,M,M,A,A
AMO-1-630,TC,103,TC,TC,H,S,S
AMO-1-631,MC,68,TC,TC,TC,A,A
AMO-1-632,MC,66,TP,TP,TP,A,A
AMO-1-633,MT,40,TC,TC,TC,A,A
AMO-1-634,MC,63,TP,TP,TP,A,A
AMO-1-635,CU,116,M,M,M,A,A
AMO-1-636,TP,5,TP,TP,H,S,S
AMO-1-637,DA,54,M,M,M,A,A
AMO-1-638,CL,90,N,N,N,A,NA
AMO-1-639,TC,106,N,N,N,A,NA
AMO-1-640,FP,73,TC,TC,TC,A,A
AMO-1-641,CL,88,M,M,M,A,A
AMO-1-642,M,19,N,N,N,A,NA
AMO-1-643,TP,7,TC,TC,TC,A,A
AMO-1-644,DA,54,H,DA,H,S,S
AMO-1-645,DA,52,TP,TP,TP,A,A
AMO-1-646,MC,70,TX,TX,TX,A,A
AMO-1-647,DA,59,TC,TC,TC,A,A
AMO-1-648,CU,119,M,M,M,A,A
AMO-1-649,CL,91,TX,TX,TX,A,A
AMO-1-650,M,20,TX,TX,TX,A,A
AMO-1-651,CU,114,M,M,M,A,A
AMO-1-652,CU,111,TX,TX,TX,A,A
AMO-1-653,MT,39,TX,TX,TX,A,A
AMO-1-654,TX,32,M,M,M,A,A
AMO-1-655,CL,85,H,CL,H,S,S
AMO-1-656,CL,91,TP,TP,TP,A,A
AMO-1-657,TP,10,TP,TP,H,S,S
AMO-1-658,FP,82,M,M,M,A,A
AMO-1-659,TX,33,TX,TX,H,S,S
AMO-1-660,MT,46,TC,TC,TC,A,A
AMO-1-661,M,22,N,N,N,A,NA
AMO-1-662,MC,71,N,N,N,A,NA
AMO-1-663,M,14,N,N,N,A,NA
AMO-1-664,MC,70,M,M,M,A,A
AMO-1-665,TX,26,TX,TX,H,S,S
AMO-1-666,CU,114,H,CU,H,S,S
AMO-1-667,TP,12,N,N,N,A,NA
AMO-1-668,M,17,TC,TC,TC,A,A
AMO-1-669,M,18,TC,TC,TC,A,A
AMO-1-670,FP,76,TC,TC,TC,A,A
AMO-1-671,FP,76,N,N,N,A,NA
AMO-1-672,DA,49,M,M,M,A,A
AMO-1-673,DA,52,TX,TX,TX,A,A
AMO-1-674,CU,115,TC,TC,TC,A,A
AMO-1-675,FP,84,H,FP,H,S,S
AMO-1-676,DA,54,TX,TX,TX,A,A
AMO-1-677,CU,112,TX,TX,TX,A,A
AMO-1-678,MT,40,TX,TX,TX,A,A
AMO-1-679,MT,42,N,N,N,A,NA
AMO-1-680,CL,93,N,N,N,A,NA
AMO-1-681,CU,109,TX,TX,TX,A,A
AMO-1-682,MC,72,TX,TX,TX,A,A
AMO-1-683,MT,40,M,M,M,A,A
AMO-1-684,DA,57,N,N,N,A,NA
AMO-1-685,CU,119,N,N,N,A,NA
AMO-1-686,TP,4,M,M,M,A,A
AMO-1-687,M,13,H,M,H,S,S
AMO-1-688,TC,101,TX,TX,TX,A,A
AMO-1-689,M,15,H,M,H,S,S
AMO-1-690,CU,110,H,CU,H,S,S
AMO-1-691,CL,89,TP,TP,TP,A,A
AMO-1-692,DA,51,TC,TC,TC,A,A
AMO-1-693,CL,95,N,N,N,A,NA
AMO-1-694,MC,71,H,MC,H,S,S
AMO-1-695,MT,42,M,M,M,A,A
AMO-1-696,MC,68,M,M,M,A,A
AMO-1-697,MC,70,H,MC,H,S,S
AMO-1-698,TP,6,TC,TC,TC,A,A
AMO-1-699,M,14,TP,TP,TP,A,A
AMO-1-700,FP,84,M,M,M,A,A
AMO-1-701,CU,109,H,CU,H,S,S
AMO-1-702,FP,79,H,FP,H,S,S
AMO-1-703,TX,31,M,M,M,A,A
AMO-1-704,CU,109,N,N,N,A,NA
AMO-1-705,MT,41,M,M,M,A,A
AMO-1-706,TX,31,H,TX,H,S,S
AMO-1-707,M,14,M,M,H,S,S
AMO-1-708,MC,71,M,M,M,A,A
AMO-1-709,FP,74,M,M,M,A,A
AMO-1-710,TX,32,TX,TX,H,S,S
AMO-1-711,TP,6,H,TP,H,S,S
AMO-1-712,TC,107,M,M,M,A,A
AMO-1-713,DA,55,H,DA,H,S,S
AMO-1-714,CU,120,TC,TC,TC,A,A
AMO-1-715,M,16,TP,TP,TP,A,A
AMO-1-716,TP,11,M,M,M,A,A
AMO-1-717,M,23,H,M,H,S,S
AMO-1-718,TX,29,H,TX,H,S,S
AMO-1-719,DA,55,N,N,N,A,NA
AMO-1-720,FP,79,TC,TC,TC,A,A
